State,State Abbreviation,State FIPS Code,Closed K-12 public schools,Closed day cares,Banned visitors to nursing homes,Closed other non-essential businesses,Closed restaurants except take out,Closed gyms,Closed movie theaters,Closed bars,Closed casinos,Mention of Tribal Casinos,Began to reopen businesses statewide,Reopened restaurants,Initially reopened restaurants for outdoor dining only,Reopened gyms,Reopened movie theaters,Reopened hair salons/barber shops,Reopened religious gatherings,Reopened other non-essential retail,Reopened bars,Reopened child care,Reopened casinos,Begin to Re-Close Bars,Re-Close Bars (statewide),Re-Close Movie Theaters (statewide),Re-Close Gyms (statewide),Re-close hair salons and barber shops (statewide),Re-Close Indoor Dining (Statewide),Re-close casinos (statewide),Re-open indoor dining statewide x2,Re-open bars statewide x2,Re-open gyms statewide x2,Re-open movie theaters statewide x2,Re-open casinos x2,Close Bars (x3),Close Movie Theaters (x3),Close Gyms (x3),Close Indoor Dining (x3)
Alabama,AL,1,3/20/2020,3/20/2020,3/19/2020,3/28/2020,3/19/2020,3/28/2020,3/28/2020,3/19/2020,03/28/20,0,4/30/20,5/11/20,0,5/11/20,5/22/20,5/11/20,5/11/20,4/30/20,5/11/20,5/23/20,05/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,AK,2,3/16/2020,0,0,3/24/2020,3/18/2020,3/18/2020,3/18/2020,3/18/2020,0,0,4/24/20,4/24/20,0,5/8/20,5/8/20,4/24/20,5/8/20,4/24/20,5/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,AZ,4,3/16/2020,0,0,3/31/2020,3/21/2020,3/21/2020,3/21/2020,3/21/2020,0,0,5/8/20,5/11/20,0,5/13/20,5/16/20,5/8/20,0,5/8/20,5/16/20,0,0,6/29/2020,6/29/2020,6/29/2020,6/29/2020,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,AR,5,3/17/2020,0,3/13/2020,4/6/2020,3/20/2020,3/20/2020,3/20/2020,3/20/2020,03/17/2020,0,5/4/20,5/11/20,0,5/4/20,5/18/20,5/6/20,0,5/18/20,5/19/20,0,05/18/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,CA,6,3/23/2020,0,0,3/19/2020,3/16/2020,3/19/2020,3/19/2020,3/16/2020,0,0,5/8/20,5/18/2020,0,0,0,8/28/20,5/25/20,5/8/20,0,0,0,0,0,0,0,0,7/13/2020,0,0,0,0,0,0,0,0,0,0
Colorado,CO,8,3/23/2020,0,3/12/2020,3/19/2020,3/17/2020,3/17/2020,3/17/2020,3/17/2020,03/17/2020,0,5/1/20,5/27/20,0,6/4/20,6/18/20,5/1/20,6/4/20,5/1/20,6/18/20,0,0,6/30/2020,6/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut,CT,9,3/17/2020,0,3/9/2020,3/23/2020,3/16/2020,3/16/2020,3/16/2020,3/16/2020,0,1,5/20/20,5/20/20,1,6/17/20,6/17/20,6/1/20,5/29/20,5/20/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,DE,10,3/16/2020,4/6/2020,0,3/24/2020,3/16/2020,3/19/2020,3/19/2020,3/16/2020,03/16/2020,0,5/8/20,6/1/20,0,6/1/20,6/1/20,6/8/20,5/20/20,5/20/20,6/15/20,6/15/20,06/01/2020,7/3/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,DC,11,3/16/2020,0,0,3/25/2020,3/16/2020,3/17/2020,3/17/2020,3/16/2020,0,0,5/29/20,5/29/20,1,6/22/20,6/22/20,5/29/20,6/22/20,6/22/20,5/29/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,FL,12,3/17/2020,0,3/15/2020,4/3/2020,4/3/2020,4/3/2020,4/3/2020,3/17/2020,0,0,5/18/20,5/18/20,0,5/18/20,6/5/2020,5/11/20,0,5/18/20,6/5/2020,0,0,6/26/2020,6/26/2020,0,0,0,11/20/2020,0,0,9/14/2020,0,0,0,0,0,0,0
