State,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,One race,Two or more races,One race,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,White and Black or African American,White and American Indian and Alaska Native,White and Asian,Black or African American and American Indian and Alaska Native,Total population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,"Citizen, 18 and over population",Male,Female
AL,"4,876,250",48.4%,51.6%,6.0%,6.2%,6.4%,6.6%,6.7%,13.1%,12.2%,13.0%,6.8%,6.5%,9.8%,5.0%,1.7%,22.5%,80.1%,77.5%,73.4%,20.3%,16.5%,98.1%,1.9%,98.1%,68.1%,26.6%,0.5%,1.4%,0.0%,1.4%,1.9%,0.6%,0.6%,0.3%,0.1%,"4,876,250",69.8%,27.5%,1.3%,1.8%,0.1%,1.6%,"3,685,074",47.5%,52.5%
AK,"737,068",52.2%,47.8%,7.2%,7.2%,6.7%,6.3%,7.4%,16.2%,12.7%,12.3%,6.8%,6.0%,7.6%,2.7%,0.9%,25.0%,77.6%,75.0%,71.2%,14.6%,11.2%,91.8%,8.2%,91.8%,64.6%,3.3%,14.9%,6.2%,1.2%,1.5%,8.2%,0.9%,4.1%,1.2%,0.2%,"737,068",72.0%,4.9%,20.0%,8.3%,2.0%,2.0%,"530,996",52.8%,47.2%
AZ,"7,050,299",49.7%,50.3%,6.2%,6.4%,6.7%,6.7%,6.9%,13.7%,12.3%,12.0%,6.1%,5.9%,9.9%,5.3%,1.9%,23.2%,79.4%,76.8%,72.6%,20.6%,17.1%,96.3%,3.7%,96.3%,77.2%,4.5%,4.5%,3.3%,0.2%,6.5%,3.7%,0.8%,0.8%,0.7%,0.1%,"7,050,299",80.4%,5.7%,5.7%,4.4%,0.5%,7.3%,"4,920,449",49.2%,50.8%
AR,"2,999,370",49.1%,50.9%,6.3%,6.6%,6.6%,6.7%,6.7%,13.1%,12.3%,12.4%,6.5%,6.2%,9.7%,5.1%,1.9%,23.5%,79.2%,76.5%,72.3%,20.3%,16.6%,97.3%,2.7%,97.3%,76.7%,15.3%,0.7%,1.5%,0.3%,2.8%,2.7%,0.7%,1.1%,0.3%,0.1%,"2,999,370",79.2%,16.3%,2.0%,1.9%,0.4%,3.1%,"2,207,333",48.2%,51.8%
CA,"39,283,497",49.7%,50.3%,6.2%,6.3%,6.6%,6.5%,7.0%,15.2%,13.3%,13.0%,6.3%,5.7%,8.1%,4.1%,1.8%,23.0%,79.6%,77.0%,73.0%,17.2%,14.0%,95.1%,4.9%,95.1%,59.7%,5.8%,0.8%,14.5%,0.4%,14.0%,4.9%,0.7%,0.7%,1.5%,0.1%,"39,283,497",63.8%,7.0%,1.9%,16.7%,0.8%,15.1%,"25,494,383",49.1%,50.9%
CO,"5,610,349",50.3%,49.7%,6.0%,6.3%,6.4%,6.4%,6.7%,15.5%,13.6%,12.7%,6.5%,6.0%,8.5%,3.8%,1.5%,22.5%,80.0%,77.5%,73.6%,17.3%,13.8%,96.3%,3.7%,96.3%,84.0%,4.2%,1.0%,3.2%,0.2%,3.9%,3.7%,0.8%,0.9%,0.8%,0.1%,"5,610,349",87.3%,5.3%,2.2%,4.3%,0.4%,4.5%,"4,063,877",49.9%,50.1%
CT,"3,575,074",48.8%,51.2%,5.1%,5.5%,6.2%,6.8%,6.8%,12.4%,11.9%,14.2%,7.4%,6.8%,9.4%,4.9%,2.5%,20.8%,81.8%,79.2%,74.9%,20.7%,16.8%,96.7%,3.3%,96.7%,75.9%,10.7%,0.3%,4.5%,0.0%,5.2%,3.3%,1.1%,0.4%,0.6%,0.1%,"3,575,074",78.6%,12.5%,1.0%,5.4%,0.2%,6.0%,"2,605,409",47.9%,52.1%
DE,"957,248",48.4%,51.6%,5.7%,5.6%,6.3%,6.3%,6.2%,13.3%,11.6%,13.0%,7.1%,6.8%,10.9%,5.4%,1.9%,21.3%,81.2%,78.7%,74.7%,22.3%,18.2%,97.2%,2.8%,97.2%,68.8%,22.2%,0.4%,3.9%,0.1%,1.9%,2.8%,1.3%,0.3%,0.4%,0.2%,"957,248",71.1%,24.0%,1.0%,4.5%,0.1%,2.3%,"710,280",47.5%,52.5%
DC,"692,683",47.4%,52.6%,6.5%,4.9%,4.2%,5.4%,7.6%,23.4%,14.8%,11.0%,5.3%,4.8%,7.0%,3.5%,1.6%,17.9%,83.6%,82.1%,77.3%,14.9%,12.1%,96.9%,3.1%,96.9%,41.3%,46.3%,0.3%,4.0%,0.1%,5.0%,3.1%,0.8%,0.1%,0.9%,0.3%,"692,683",43.6%,47.9%,0.9%,5.3%,0.2%,5.5%,"519,267",46.5%,53.5%
FL,"20,901,636",48.9%,51.1%,5.4%,5.4%,5.7%,5.8%,6.1%,13.0%,12.1%,13.1%,6.8%,6.4%,11.1%,6.4%,2.6%,20.0%,82.3%,80.0%,76.4%,23.9%,20.1%,97.3%,2.7%,97.3%,75.1%,16.1%,0.3%,2.7%,0.1%,3.0%,2.7%,1.0%,0.4%,0.5%,0.1%,"20,901,636",77.5%,17.5%,0.8%,3.5%,0.2%,3.5%,"14,988,415",48.1%,51.9%
